NumberofTrials,Blocksize,MegaTrials/Second,Probability
1024,8,8.9586,24.22%
1024,32,12.3124,21.78%
1024,128,10.4473,25.00%
4096,8,50.7132,22.71%
4096,32,39.4453,24.10%
4096,128,47.6723,21.46%
16384,8,137.4128,22.16%
16384,32,101.4665,22.46%
16384,128,211.0470,22.22%
65536,8,350.0855,22.68%
65536,32,450.9027,22.70%
65536,128,544.6809,22.62%
262144,8,735.1701,22.30%
262144,32,1671.1546,22.50%
262144,128,1948.6204,22.61%
1048576,8,978.6459,22.56%
1048576,32,2720.2391,22.50%
1048576,128,3751.7747,22.53%
2097152,8,1050.3237,22.51%
2097152,32,3319.9594,22.51%
2097152,128,4966.7300,22.53%
4194304,8,1092.0119,22.49%
4194304,32,3688.0135,22.50%
4194304,128,6279.8005,22.53%
8388608,8,1126.9485,22.49%
8388608,32,4076.1924,22.50%
8388608,128,7427.4381,22.51%
16777216,8,1134.3536,22.51%
16777216,32,4134.2090,22.50%
16777216,128,7919.8783,22.50%