NMB,LOCAL_SIZE,GigaMultsPerSecond,NUM_WORK_GROUPS
1024,8,0.013,128
1024,16,0.014,64
1024,32,0.015,32
1024,128,0.017,8
1024,256,0.018,4
1024,512,0.014,2
4096,8,0.078,512
4096,16,0.067,256
4096,32,0.057,128
4096,128,0.063,32
4096,256,0.068,16
4096,512,0.051,8
16384,8,0.266,2048
16384,16,0.259,1024
16384,32,0.232,512
16384,128,0.228,128
16384,256,0.201,64
16384,512,0.309,32
65536,8,0.708,8192
65536,16,0.847,4096
65536,32,0.907,2048
65536,128,0.845,512
65536,256,0.748,256
65536,512,0.761,128
262144,8,1.731,32768
262144,16,2.424,16384
262144,32,2.408,8192
262144,128,3.924,2048
262144,256,4.252,1024
262144,512,3.895,512
1048576,8,2.719,131072
1048576,16,4.247,65536
1048576,32,6.472,32768
1048576,128,9.276,8192
1048576,256,9.298,4096
1048576,512,9.419,2048
2097152,8,2.770,262144
2097152,16,5.185,131072
2097152,32,8.242,65536
2097152,128,13.182,16384
2097152,256,13.487,8192
2097152,512,12.553,4096
4194304,8,2.934,524288
4194304,16,5.605,262144
4194304,32,9.948,131072
4194304,128,16.011,32768
4194304,256,17.462,16384
4194304,512,16.913,8192
8388608,8,3.022,1048576
8388608,16,5.856,524288
8388608,32,10.447,262144
8388608,128,19.002,65536
8388608,256,19.068,32768
8388608,512,18.058,16384