Sum of GigaMultsPerSecond,Column Labels,,,
Row Labels,32,128,256,Grand Total
1024,0.015,0.014,0.012,0.041
4096,0.047,0.048,0.043,0.138
16384,0.206,0.207,0.248,0.661
65536,0.681,1.009,1.422,3.112
262144,0.839,1.01,0.727,2.576
1048576,2.892,3.766,3.59,10.248
2097152,4.453,5.39,5.198,15.041
4194304,6.129,7.706,7.959,21.794
8388608,7.09,11.781,10.717,29.588
Grand Total,22.352,30.931,29.916,83.199
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,32,128,256,
1024,0.015,0.014,0.012,
4096,0.047,0.048,0.043,
16384,0.206,0.207,0.248,
65536,0.681,1.009,1.422,
262144,0.839,1.01,0.727,
1048576,2.892,3.766,3.59,
2097152,4.453,5.39,5.198,
4194304,6.129,7.706,7.959,
8388608,7.09,11.781,10.717,